start,end,resource,detail
2131,2140,"MXM.E0.Compute","down columns 0..287 reduction=36 dst=sram"
2131,2140,"MXM.W0.Compute","down columns 288..575 reduction=36 dst=sram"
2140,2159,"MEM.E.Read","down weights columns 0..287 reduction=37"
2140,2159,"MEM.W.Read","down weights columns 288..575 reduction=37"
2151,2152,"MXM.E0.ActivationLoad","down SwiGLU block=37"
2151,2152,"MXM.W0.ActivationLoad","down SwiGLU block=37"
2155,2164,"MXM.E0.Compute","down columns 0..287 reduction=37 dst=sram"
2155,2164,"MXM.W0.Compute","down columns 288..575 reduction=37 dst=sram"
2164,2183,"MEM.E.Read","down weights columns 0..287 reduction=38"
2164,2183,"MEM.W.Read","down weights columns 288..575 reduction=38"
2175,2176,"MXM.E0.ActivationLoad","down SwiGLU block=38"
2175,2176,"MXM.W0.ActivationLoad","down SwiGLU block=38"
2179,2188,"MXM.E0.Compute","down columns 0..287 reduction=38 dst=sram"
2179,2188,"MXM.W0.Compute","down columns 288..575 reduction=38 dst=sram"
2188,2207,"MEM.E.Read","down weights columns 0..287 reduction=39"
2188,2207,"MEM.W.Read","down weights columns 288..575 reduction=39"
2199,2200,"MXM.E0.ActivationLoad","down SwiGLU block=39"
2199,2200,"MXM.W0.ActivationLoad","down SwiGLU block=39"
2203,2212,"MXM.E0.Compute","down columns 0..287 reduction=39 dst=sram"
2203,2212,"MXM.W0.Compute","down columns 288..575 reduction=39 dst=sram"
2212,2231,"MEM.E.Read","down weights columns 0..287 reduction=40"
2212,2231,"MEM.W.Read","down weights columns 288..575 reduction=40"
2223,2224,"MXM.E0.ActivationLoad","down SwiGLU block=40"
2223,2224,"MXM.W0.ActivationLoad","down SwiGLU block=40"
2227,2236,"MXM.E0.Compute","down columns 0..287 reduction=40 dst=sram"
2227,2236,"MXM.W0.Compute","down columns 288..575 reduction=40 dst=sram"
2236,2255,"MEM.E.Read","down weights columns 0..287 reduction=41"
2236,2255,"MEM.W.Read","down weights columns 288..575 reduction=41"
2247,2248,"MXM.E0.ActivationLoad","down SwiGLU block=41"
2247,2248,"MXM.W0.ActivationLoad","down SwiGLU block=41"
2251,2260,"MXM.E0.Compute","down columns 0..287 reduction=41 dst=sram"
2251,2260,"MXM.W0.Compute","down columns 288..575 reduction=41 dst=sram"
2260,2279,"MEM.E.Read","down weights columns 0..287 reduction=42"
2260,2279,"MEM.W.Read","down weights columns 288..575 reduction=42"
2271,2272,"MXM.E0.ActivationLoad","down SwiGLU block=42"
2271,2272,"MXM.W0.ActivationLoad","down SwiGLU block=42"
2275,2284,"MXM.E0.Compute","down columns 0..287 reduction=42 dst=sram"
2275,2284,"MXM.W0.Compute","down columns 288..575 reduction=42 dst=sram"
2284,2303,"MEM.E.Read","down weights columns 0..287 reduction=43"
2284,2303,"MEM.W.Read","down weights columns 288..575 reduction=43"
2295,2296,"MXM.E0.ActivationLoad","down SwiGLU block=43"
2295,2296,"MXM.W0.ActivationLoad","down SwiGLU block=43"
2299,2308,"MXM.E0.Compute","down columns 0..287 reduction=43 dst=sram"
2299,2308,"MXM.W0.Compute","down columns 288..575 reduction=43 dst=sram"
2308,2327,"MEM.E.Read","down weights columns 0..287 reduction=44"
2308,2327,"MEM.W.Read","down weights columns 288..575 reduction=44"
2319,2320,"MXM.E0.ActivationLoad","down SwiGLU block=44"
2319,2320,"MXM.W0.ActivationLoad","down SwiGLU block=44"
2323,2332,"MXM.E0.Compute","down columns 0..287 reduction=44 dst=sram"
2323,2332,"MXM.W0.Compute","down columns 288..575 reduction=44 dst=sram"
2332,2351,"MEM.E.Read","down weights columns 0..287 reduction=45"
2332,2351,"MEM.W.Read","down weights columns 288..575 reduction=45"
2343,2344,"MXM.E0.ActivationLoad","down SwiGLU block=45"
2343,2344,"MXM.W0.ActivationLoad","down SwiGLU block=45"
2347,2356,"MXM.E0.Compute","down columns 0..287 reduction=45 dst=sram"
2347,2356,"MXM.W0.Compute","down columns 288..575 reduction=45 dst=sram"
2356,2375,"MEM.E.Read","down weights columns 0..287 reduction=46"
2356,2375,"MEM.W.Read","down weights columns 288..575 reduction=46"
